,function_name,instructions_number,is_eqv_LLVM_globalisel,is_eqv_LLVM_selectiondag
0,3_function_32,3,False,False
1,4_function_18,4,False,False
2,8_function_40,8,False,False
3,3_function_33,3,False,False
4,4_function_20,4,False,False
5,7_function_87,7,False,False
6,7_function_32,7,False,False
7,4_function_24,4,False,False
8,7_function_26,7,False,False
9,7_function_12,7,False,False
10,6_function_8,6,False,False
11,4_function_60,4,False,False
12,3_function_15,3,False,False
13,7_function_46,7,False,False
14,3_function_22,3,False,False
15,7_function_11,7,False,False
16,6_function_55,6,False,False
17,8_function_55,8,False,False
18,4_function_40,4,False,False
19,6_function_21,6,False,False
20,3_function_13,3,False,False
21,7_function_81,7,False,False
22,7_function_69,7,False,False
23,3_function_4,3,False,False
24,3_function_1,3,True,True
25,4_function_8,4,False,False
26,6_function_25,6,False,False
27,6_function_97,6,False,False
28,5_function_74,5,False,False
29,5_function_28,5,False,False
30,3_function_74,3,True,False
31,5_function_35,5,False,False
32,4_function_6,4,False,False
33,3_function_79,3,True,True
34,5_function_40,5,True,True
35,8_function_56,8,False,False
36,7_function_45,7,False,False
37,8_function_24,8,False,False
38,5_function_3,5,True,True
39,7_function_88,7,False,False
40,3_function_28,3,True,False
41,6_function_51,6,False,False
42,3_function_82,3,False,False
43,3_function_51,3,False,False
44,6_function_19,6,False,False
45,5_function_54,5,False,False
46,5_function_61,5,False,False
47,6_function_69,6,False,False
48,5_function_68,5,False,False
49,4_function_26,4,False,False
50,6_function_42,6,False,False
51,6_function_78,6,False,False
52,3_function_99,3,True,True
53,5_function_25,5,False,False
54,5_function_69,5,False,False
55,6_function_18,6,False,False
56,7_function_22,7,False,False
57,7_function_97,7,False,False
58,4_function_13,4,False,False
59,4_function_36,4,False,False
60,4_function_25,4,True,True
61,8_function_89,8,False,False
62,3_function_3,3,False,False
63,5_function_62,5,True,True
64,4_function_5,4,False,False
65,6_function_86,6,False,False
66,8_function_35,8,False,False
67,3_function_39,3,False,False
68,8_function_62,8,False,False
69,5_function_75,5,False,False
70,6_function_36,6,True,True
71,7_function_2,7,False,False
72,5_function_82,5,False,False
73,5_function_83,5,False,False
74,7_function_19,7,False,False
75,8_function_33,8,False,False
76,6_function_72,6,False,False
77,6_function_89,6,False,False
78,5_function_2,5,False,False
79,6_function_61,6,False,False
80,7_function_63,7,False,False
81,4_function_84,4,False,False
82,3_function_31,3,True,True
83,8_function_64,8,False,False
84,8_function_96,8,False,False
85,8_function_15,8,False,False
86,5_function_23,5,False,False
87,5_function_20,5,False,False
88,6_function_68,6,False,False
89,5_function_45,5,False,False
90,5_function_9,5,False,False
91,3_function_65,3,True,True
92,8_function_21,8,False,False
93,6_function_9,6,False,False
94,7_function_28,7,False,False
95,4_function_89,4,False,False
96,3_function_50,3,False,False
97,4_function_93,4,False,False
98,7_function_18,7,False,False
99,8_function_34,8,False,False
100,6_function_15,6,False,False
101,5_function_81,5,False,False
102,6_function_46,6,False,False
103,5_function_31,5,False,False
104,7_function_14,7,False,False
105,6_function_95,6,False,False
106,7_function_90,7,False,False
107,4_function_74,4,False,False
108,8_function_45,8,False,False
109,4_function_47,4,False,False
110,7_function_62,7,False,False
111,6_function_39,6,False,False
112,5_function_67,5,True,False
113,4_function_28,4,False,False
114,5_function_44,5,True,False
115,4_function_70,4,False,False
116,3_function_0,3,True,True
117,5_function_77,5,True,True
118,4_function_53,4,True,True
119,7_function_34,7,False,False
120,6_function_11,6,False,False
121,4_function_92,4,False,False
122,4_function_43,4,False,False
123,7_function_76,7,False,False
124,7_function_86,7,False,False
125,3_function_43,3,False,False
126,4_function_68,4,True,True
127,8_function_75,8,False,False
128,8_function_7,8,False,False
129,6_function_16,6,False,False
130,4_function_96,4,False,False
131,3_function_24,3,True,True
132,8_function_74,8,False,False
133,8_function_97,8,False,False
134,5_function_49,5,False,False
135,8_function_6,8,False,False
136,6_function_28,6,True,True
137,6_function_84,6,False,False
138,6_function_60,6,False,False
139,6_function_34,6,False,False
140,6_function_30,6,False,False
141,5_function_59,5,False,False
142,3_function_68,3,False,False
143,3_function_91,3,False,False
144,3_function_12,3,False,True
145,6_function_59,6,False,False
146,8_function_58,8,False,False
147,8_function_99,8,False,False
148,5_function_14,5,False,False
149,3_function_14,3,False,False
150,3_function_94,3,True,False
151,5_function_50,5,False,False
152,5_function_88,5,False,False
153,3_function_64,3,False,False
154,4_function_99,4,False,False
155,5_function_30,5,True,False
156,7_function_33,7,False,False
157,3_function_41,3,False,False
158,6_function_49,6,False,False
159,6_function_1,6,False,False
160,5_function_24,5,False,False
161,6_function_31,6,False,False
162,3_function_44,3,True,True
163,5_function_90,5,True,False
164,3_function_49,3,True,True
165,8_function_57,8,False,False
166,5_function_4,5,False,False
167,6_function_3,6,False,False
168,5_function_85,5,False,False
169,5_function_78,5,False,False
170,4_function_90,4,True,True
171,4_function_51,4,False,False
172,7_function_20,7,False,False
173,8_function_1,8,False,False
174,7_function_82,7,False,False
175,8_function_44,8,False,False
176,4_function_35,4,False,False
177,3_function_9,3,True,True
178,3_function_36,3,True,True
179,6_function_57,6,False,False
180,4_function_65,4,True,True
181,5_function_58,5,False,False
182,4_function_12,4,True,False
183,3_function_6,3,False,False
184,5_function_15,5,False,False
185,8_function_47,8,False,False
186,7_function_93,7,False,False
187,4_function_38,4,True,True
188,5_function_26,5,False,False
189,5_function_94,5,False,False
190,4_function_56,4,True,True
191,7_function_75,7,False,False
192,3_function_83,3,False,False
193,8_function_94,8,False,False
194,3_function_42,3,True,False
195,4_function_48,4,True,True
196,4_function_14,4,False,False
197,5_function_87,5,True,True
198,3_function_54,3,False,False
199,6_function_93,6,False,False
200,3_function_10,3,False,False
201,7_function_64,7,False,False
202,4_function_91,4,False,False
203,3_function_48,3,True,True
204,8_function_81,8,False,False
205,4_function_30,4,False,False
206,4_function_97,4,True,False
207,6_function_77,6,False,False
208,4_function_34,4,True,False
209,3_function_81,3,True,True
210,3_function_76,3,True,True
211,7_function_10,7,True,False
212,8_function_63,8,False,False
213,4_function_19,4,False,False
214,4_function_3,4,False,False
215,8_function_65,8,False,False
216,7_function_27,7,False,False
217,3_function_84,3,False,False
218,8_function_43,8,False,False
219,4_function_63,4,True,False
220,3_function_52,3,True,True
221,3_function_60,3,True,True
222,5_function_1,5,False,False
223,3_function_25,3,True,True
224,4_function_46,4,False,False
225,8_function_68,8,False,False
226,6_function_33,6,False,False
227,8_function_16,8,False,False
228,6_function_71,6,False,False
229,8_function_88,8,False,False
230,5_function_56,5,False,False
231,8_function_92,8,True,False
232,8_function_13,8,False,False
233,4_function_67,4,True,True
234,8_function_54,8,False,False
235,8_function_98,8,False,False
236,3_function_27,3,True,False
237,8_function_95,8,False,False
238,6_function_35,6,False,False
239,8_function_14,8,False,False
240,5_function_70,5,False,False
241,5_function_19,5,True,False
242,7_function_96,7,True,False
243,3_function_30,3,True,True
244,3_function_62,3,True,False
245,8_function_28,8,False,False
246,7_function_67,7,False,False
247,7_function_94,7,False,False
248,5_function_73,5,False,False
249,4_function_59,4,True,False
250,4_function_39,4,False,False
251,6_function_52,6,False,False
252,4_function_66,4,False,False
253,3_function_96,3,True,True
254,3_function_85,3,False,False
255,3_function_89,3,False,False
256,8_function_51,8,False,False
257,7_function_36,7,False,False
258,8_function_17,8,False,False
259,3_function_92,3,False,False
260,4_function_78,4,False,False
261,7_function_31,7,True,True
262,8_function_29,8,False,False
263,6_function_5,6,False,False
264,6_function_44,6,False,False
265,5_function_16,5,False,False
266,6_function_67,6,False,False
267,6_function_56,6,True,True
268,7_function_3,7,False,False
269,3_function_7,3,False,False
270,5_function_33,5,True,True
271,6_function_58,6,True,True
272,8_function_25,8,False,False
273,5_function_41,5,True,True
274,3_function_34,3,True,True
275,7_function_83,7,False,False
276,8_function_31,8,True,False
277,8_function_87,8,False,False
278,4_function_21,4,False,False
279,3_function_46,3,True,False
280,6_function_70,6,False,False
281,4_function_69,4,False,False
282,7_function_1,7,False,False
283,4_function_77,4,True,True
284,3_function_95,3,False,False
285,6_function_65,6,False,False
286,6_function_38,6,False,False
287,8_function_0,8,False,False
288,8_function_59,8,False,False
289,7_function_29,7,False,False
290,4_function_49,4,True,True
291,6_function_26,6,False,False
292,4_function_31,4,False,True
293,5_function_64,5,False,False
294,3_function_56,3,True,False
295,3_function_66,3,True,True
296,6_function_0,6,False,False
297,5_function_53,5,True,True
298,7_function_4,7,False,False
299,8_function_30,8,False,False
300,7_function_79,7,False,False
301,8_function_85,8,False,False
302,6_function_81,6,False,False
303,7_function_0,7,False,False
304,4_function_22,4,False,False
305,5_function_12,5,False,False
306,4_function_44,4,False,False
307,4_function_54,4,False,False
308,5_function_37,5,False,False
309,7_function_48,7,False,False
310,8_function_73,8,False,False
311,5_function_18,5,False,False
312,3_function_61,3,False,False
313,6_function_82,6,False,False
314,8_function_18,8,False,False
315,4_function_52,4,False,False
316,7_function_68,7,False,False
317,8_function_83,8,False,False
318,3_function_69,3,True,True
319,5_function_7,5,False,False
320,8_function_42,8,False,False
321,3_function_71,3,True,False
322,3_function_37,3,True,True
323,5_function_66,5,False,False
324,5_function_96,5,False,False
325,4_function_9,4,False,False
326,5_function_97,5,False,False
327,5_function_27,5,False,False
328,4_function_79,4,True,True
329,5_function_99,5,False,False
330,7_function_73,7,False,False
331,8_function_11,8,False,False
332,4_function_32,4,False,False
333,6_function_29,6,False,False
334,4_function_42,4,False,False
335,4_function_88,4,False,False
336,6_function_6,6,True,True
337,8_function_19,8,False,False
338,6_function_73,6,True,False
339,4_function_11,4,True,True
340,3_function_98,3,True,False
341,6_function_12,6,False,False
342,4_function_72,4,False,False
343,7_function_72,7,False,False
344,5_function_0,5,True,True
345,6_function_14,6,False,False
346,3_function_26,3,False,False
347,7_function_74,7,False,False
348,4_function_15,4,False,False
349,8_function_61,8,False,False
350,8_function_71,8,False,False
351,7_function_52,7,False,False
352,5_function_55,5,False,False
353,5_function_65,5,False,False
354,8_function_53,8,False,False
355,7_function_5,7,False,False
356,6_function_22,6,False,False
357,5_function_32,5,False,False
358,6_function_24,6,False,False
359,8_function_67,8,False,False
360,8_function_39,8,False,False
361,6_function_83,6,True,True
362,7_function_77,7,False,False
363,3_function_80,3,False,False
364,5_function_91,5,False,False
365,6_function_10,6,True,False
366,4_function_81,4,True,False
